04e98931b0900636f2a3feed5a45e121551cc842, GitHub, 1, 5, 2, 3
08dbdea3e77fe3d325f5ff10354f43b607800e9c, GitHub, 1, 2, 1, 1
151a38cd1fa4245f7f9172c315a3441319297c2e, GitHub, 4, 32, 17, 15
1ebdc696ac285981b0c0878c5f6363a9627008cb, GitHub, 4, 33, 22, 11
21a6cf98835f3ec62dba5d4853a50a3f4436b994, GitHub, 1, 2, 1, 1
48e25985775c5f8de1bc8b5a2506c2f745d8252f, GitHub, 7, 105, 59, 46
56794d5da1a8784520be7c1b4959eec850f1d622, GitHub, 7, 47, 28, 19
5df7e3f5f2276a814510ccb5f65746933f749566, GitHub, 1, 1, 1, 0
68d2366f07c275d726c0d32ebf9759a6d4a04266, GitHub, 2, 14, 9, 5
6f631e6f105f00124ef8dc9f40ac7449b3324134, GitHub, 1, 2, 1, 1
727aba9f05f56df8dd8acfed302ff5beacdf5bf1, GitHub, 2, 433, 221, 212
7ae3c228dc02cceeae221d4b736061e6f69bd53e, GitHub, 7, 62, 53, 9
7bb144d38c39a6130a940c1d4efb85e7010352f6, GitHub, 2, 11, 5, 6
8317c697f961edb4dde06f592c36e27cdffc6f45, GitHub, 3, 135, 117, 18
8b44952edf41cfe2444eba580766a148f135f171, GitHub, 1, 21, 19, 2
93012a775b9ec27db990a61941a54889e85e3e29, GitHub, 1, 2, 1, 1
94bcededd60499799a3f8485eab0c1fb212907b0, GitHub, 1, 867, 514, 353
954773696c617dde3f8c6e32cd89c2a92f7baa14, GitHub, 2, 84, 45, 39
96c9bd78b18996372ac99e09e50db7e81fbd6fb6, GitHub, 2, 41, 36, 5
a415ff73c81abe0f60b0bc9430dc7f5346c99a56, GitHub, 3, 16, 8, 8
ab1bf2d6dcf0254cd661cee230939ff584c370de, GitHub, 5, 309, 262, 47
c95291a423bbff5501318a58573f71112acb07e1, GitHub, 1, 6, 2, 4
ce95469ad5e966d7673a99d3f842351aad02d7fa, GitHub, 1, 10, 9, 1
e194ba9494af688af831b775224c3de23638ab4c, GitHub, 5, 117, 54, 63
e24f7ee469ca558688ec270e60c404840f1453ad, GitHub, 2, 41, 24, 17
e269d4ebcbc3a224a890f996750bab3a0ac938da, GitHub, 1, 1, 1, 0
e8aa88d49a8ac795b7ac12a59104efae73d04f0e, GitHub, 4, 172, 137, 35
ed5e42a0bf3772724acb508c1b79f6098b15933c, GitHub, 7, 241, 189, 52
fa402825713e5df35f4d088bdf5a82b57652600e, GitHub, 3, 5, 4, 1
fc4c0a9505a88c40043a4b384b1d613fe998e03f, GitHub, 1, 1, 1, 0
