repoName, OpenPRCount, MergedPRCount, ClosedPRCount, ForcefullyClosedPR, CommitsInOpenPRs, CommitsInMergedPRs, CommitsInClosedPRs, CommitsInForcefullyClosedPRs, NumberofJiraIDs, NumberOfFilesChanged, NumberOfLinesChanged, NumberOfLinesAdded, NumberOfLinesDeleted, NumberOfContributors
Analytics, 4, 7, 11, 4, 13, 18, 22, 4, 7, 63, 1060, 579, 481, 6
oes-ui, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
oes-api, 4, 6, 6, 0, 4, 31, 31, 0, 8, 70, 2349, 2066, 283, 6
oes-test, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
audit-client-service, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
gate, 1, 3, 3, 0, 1, 3, 3, 0, 4, 6, 221, 127, 94, 3
platform-service, 6, 18, 19, 1, 9, 38, 40, 2, 20, 218, 4747, 3598, 1149, 9
visibility-service, 2, 0, 0, 0, 2, 0, 0, 0, 2, 2, 8, 4, 4, 2
dashboard-service, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
audit-service, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
